strategy_name,initial_burn_rate,team_size_total,run,survived,survival_time,market_fit,market_share,peak_market_share,growth_rate,feature_completeness,technical_debt,bug_count,code_quality,brand_awareness,revenue,cash_runway,runway_used,runway_efficiency,funding_rounds,pivots_used,time_to_profitability,burn_multiple
Conservative,8.0,14,17,True,200,100.0,4.679405603271235,7.1318768914833415,0.028087240622633257,110.44088161235943,21.429819239354515,0.0,57.16296649608036,99.99999380359891,62.20309213835617,6927.624962756672,100.06358327987807,0.04679405603271235,0,0,0,7.24226560172292
Conservative,8.0,14,18,True,200,100.0,5.303676760399629,6.81317683154982,0.027279873620297997,110.75956063675072,21.368904029162508,0.0,57.47396433259931,99.99999636873072,73.06714907944783,6598.181435466762,100.06358327987807,0.05303676760399629,0,0,18,7.0363633971667285
Conservative,8.0,14,19,True,200,100.0,5.92244449457804,6.292510644901213,0.026822682570242118,98.97777410780004,24.16128469203953,0.0,43.33591451816894,99.99998770161842,103.86127087017596,6822.528912052227,100.06358327987807,0.059224444945780406,0,0,0,7.0265805700326425
Conservative,8.0,14,20,True,200,100.0,6.1172663655203126,6.843028972693523,0.027913975941112557,108.32876921575604,22.758263838438353,0.0,54.36607428785429,99.99998933964218,117.40459172215564,7884.537970502735,100.06358327987807,0.06117266365520312,0,0,0,7.5403362315642095
Moderate,10.0,18,1,True,200,100.0,7.856766281489247,8.512111167224628,0.039192563689201834,115.07019684507205,20.887941513084105,0.0,60.26056097056276,99.99999999998802,132.99864744991294,12465.602174078684,100.06358327987807,0.07856766281489247,0,0,0,8.532801087039342
Moderate,10.0,18,2,True,200,100.0,6.715214573732684,8.475524374741838,0.038350219216379315,112.66691967355213,21.497572814080304,0.0,58.08015391787762,99.99999999999027,114.68908425966369,12415.719359291399,100.06358327987807,0.06715214573732683,0,0,17,8.107859679645701
Moderate,10.0,18,3,True,200,100.0,7.028096352606369,7.995092959437989,0.03530324284855423,112.99451551064921,21.18298312413176,0.0,58.71340510628963,99.99999999992446,116.05308483915088,11321.32982755657,100.06358327987807,0.07028096352606368,0,0,0,7.660664913778288
Moderate,10.0,18,4,True,200,100.0,6.671431890459099,7.833885911684575,0.030648993273069504,114.37987344152424,21.051614155542364,0.0,59.79280283863163,99.99999999986457,108.44139036497765,9880.931335700876,100.06358327987807,0.06671431890459098,0,0,0,7.240465667850439
Moderate,10.0,18,5,True,200,100.0,7.784948796292837,8.462529826574425,0.04035447846962744,113.58675277381306,21.119352196004698,0.0,59.06454138548166,99.99999999993989,136.57597522100667,10876.505397962397,100.06358327987807,0.07784948796292837,0,0,0,7.638252698981198
Moderate,10.0,18,6,True,200,100.0,4.702946637624871,7.573538363887971,0.029954728448044487,115.83542379281852,20.708625648009562,0.0,61.32647376787794,99.99999999972468,96.96546618196753,10879.376156479266,100.06358327987807,0.04702946637624871,0,0,15,7.6396880782396295
Moderate,10.0,18,7,True,200,100.0,6.870221966543227,8.603014372529575,0.028909829152746473,114.67097639308712,20.925034749519583,0.0,60.03608153835344,99.9999999999736,111.02683189069691,9927.430988476885,100.06358327987807,0.06870221966543227,0,0,0,7.3637154942384395
Moderate,10.0,18,8,True,200,100.0,8.324618465520455,8.785133230507032,0.03956570675169671,114.91349192790699,20.92615550241458,0.0,60.07924071764584,99.99999999994772,135.00789970272194,13268.069172946123,100.06358327987807,0.08324618465520456,0,0,0,7.944034586473061
Moderate,10.0,18,9,True,200,100.0,7.8813654332952305,8.281957539408246,0.03978941195774337,112.69953723517374,21.273851169733543,0.0,58.07228048318862,99.99999999982296,137.55106405661886,9046.471215547623,100.06358327987807,0.0788136543329523,0,0,0,6.823235607773812
Moderate,10.0,18,10,True,200,100.0,6.218009315753796,8.081672486942963,0.03690248206421716,114.46652700073352,20.93374152025792,0.0,60.02626350439563,99.99999999996457,92.83176981378769,10738.370370186189,100.06358327987807,0.06218009315753796,0,0,0,7.469185185093093
Moderate,10.0,18,11,True,200,100.0,6.05684819087826,7.648759358983498,0.02609920730139832,111.52988899383173,21.817109859368387,0.0,56.89940871346137,99.99999999978577,95.272936817213,9985.624506459175,100.06358327987807,0.060568481908782605,0,0,0,7.092812253229589
Moderate,10.0,18,12,True,200,100.0,6.128563616960365,7.610801307048955,0.031898897704574145,114.20162964082536,20.98101360064185,0.0,59.74241818910977,99.99999999997327,95.68073284395749,11076.986791860101,100.06358327987807,0.061285636169603655,0,0,16,7.438493395930051
Moderate,10.0,18,13,True,200,100.0,5.977332676166906,7.934780914128763,0.03185512760194947,114.7712805053195,20.940125881323805,0.0,59.96068167842455,99.99999999992951,110.17313276174595,10289.741592081393,100.06358327987807,0.05977332676166906,0,0,0,7.544870796040695
Moderate,10.0,18,14,True,200,100.0,7.058022683794358,8.096612888913135,0.03791468270819291,113.70489004867532,21.081780594780717,0.0,59.13069074936209,99.99999999970203,108.57587859032637,10544.910198600663,100.06358327987807,0.07058022683794359,0,0,0,7.18245509930033
Moderate,10.0,18,15,True,200,100.0,5.262552731722267,7.696100045516556,0.028767775553701355,114.10463894588915,21.08119178076905,0.0,59.20431596059808,99.99999999998951,88.68896577799175,11386.718631429248,100.06358327987807,0.05262552731722267,0,0,0,7.893359315714624
Moderate,10.0,18,16,True,200,100.0,7.27299019832584,8.61210845942066,0.03580726784463673,114.5352999420028,20.906512256972967,0.0,60.140284094150594,99.99999999994495,124.92061909290582,12916.58084134693,100.06358327987807,0.0727299019832584,0,0,17,8.15829042067347
Moderate,10.0,18,17,True,200,100.0,4.679410000774899,8.22250096706197,0.027626824895569436,108.72994196263988,22.12019997849858,0.0,53.52653786116803,99.99999999986969,65.0347911739149,10558.668727755636,100.06358327987807,0.046794100007748994,0,0,0,7.579334363877822
Moderate,10.0,18,18,True,200,100.0,7.434592868580764,7.817320131221029,0.03571556367985857,111.276312481187,21.635107414725354,0.0,56.72918202111502,99.99999999988346,118.28192784101,10867.805455957163,100.06358327987807,0.07434592868580764,0,0,20,7.633902727978581
Moderate,10.0,18,19,True,200,100.0,6.573281260080018,8.261074556747268,0.03505265500438038,105.26738847269269,22.987626848320726,0.0,50.24538474281302,99.99999999915158,109.25614215058496,10597.703229350427,100.06358327987807,0.06573281260080018,0,0,0,7.008851614675214
Moderate,10.0,18,20,True,200,100.0,8.533444082929396,8.661607225221319,0.042018770620514664,114.13503795191865,21.066771896360116,0.0,59.40623833550582,99.99999999998198,148.57619700036153,12266.919979888138,100.06358327987807,0.08533444082929396,0,0,17,8.10345998994407
Aggressive,15.0,28,1,True,200,100.0,9.872329722950296,11.750603239256177,0.051310645753526785,110.6270948333093,22.633702074025823,0.0,53.965266563082146,99.99999999999999,172.69616454114455,20390.676521598707,100.06358327987807,0.09872329722950296,0,0,0,7.830225507199569
Aggressive,15.0,28,2,True,200,100.0,10.965668632783705,11.991825075029857,0.05362008748672421,115.0485656933662,21.233286056885802,0.0,58.730248623272544,99.99999999999999,202.7372265304933,22503.645961411854,100.06358327987807,0.10965668632783705,0,0,0,8.601215320470608
Aggressive,15.0,28,3,True,200,100.0,11.1533243667894,11.245058798267426,0.05531413039164109,111.64156404368302,21.906182863712587,0.0,55.18426373888468,99.99999999999999,184.81355258808514,20114.934886087478,100.06358327987807,0.11153324366789401,0,0,0,7.471644962029159
Aggressive,15.0,28,4,True,200,100.0,11.040832276747455,11.043090837273581,0.052608165863527685,116.81792698562442,20.88707945221634,0.0,60.52765951824472,99.99999999999999,202.4104752117865,21155.23166777527,100.06358327987807,0.11040832276747455,0,0,0,8.118410555925088
Aggressive,15.0,28,5,True,200,100.0,9.564727127051663,12.295751920218546,0.04942155283797195,117.68788066095611,20.6777461865914,0.0,61.617944662981614,99.99999999999999,161.6465435510305,22021.10190420192,100.06358327987807,0.09564727127051663,0,0,0,8.44036730140064
Aggressive,15.0,28,6,True,200,100.0,11.236471578168658,12.432138725230267,0.058629284299707186,110.84142623806662,22.023777368294034,0.0,54.434835148222064,99.99999999999999,185.21547228156265,22671.631348777915,100.06358327987807,0.11236471578168658,0,0,0,8.490543782925972
Aggressive,15.0,28,7,True,200,100.0,10.78618812476663,12.981607421473836,0.05041663189507399,118.65547230250522,20.540900409416217,0.0,62.61089736341016,99.99999999999999,192.5769833058051,22465.244741421695,100.06358327987807,0.1078618812476663,0,0,0,8.575081580473901
