capital_level,initial_runway,run,survived,survival_time,final_cash,market_fit,market_fit_achieved,time_to_pmf,time_to_profitability,market_share,feature_completeness,technical_debt,bug_count,code_quality,brand_awareness,revenue,funding_rounds,pivots_used,capital_spent,capital_efficiency
Seed Stage,50,8,False,6,0.0,100.0,True,15,1,6.722628295601745,115.18580562938931,20.833135882088992,0,60.58010333371301,99.99999999980119,119.97861113149096,0,0,50.0,0.13445256591203492
Seed Stage,50,9,False,7,0.0,100.0,True,14,1,7.202083362996691,114.12858160709575,21.333529516493453,0,59.28831622066077,99.99999999998275,135.22605151403357,0,0,50.0,0.14404166725993384
Seed Stage,50,10,False,5,0.0,100.0,True,17,17,7.929867569883104,113.69324131053362,21.082620720850407,0,59.14246895601027,99.99999999960089,131.0999314973507,0,0,50.0,0.15859735139766207
Seed Stage,50,11,False,5,0.0,100.0,True,14,16,7.924079997890518,114.59515230265164,20.933114829166325,0,60.00056102346237,99.99999999963545,127.98949942058981,0,0,50.0,0.15848159995781036
Seed Stage,50,12,False,6,0.0,100.0,True,15,1,5.957386311811511,114.53244023683156,21.05220174994669,0,59.90984683064463,99.99999999991815,106.26392456942743,0,0,50.0,0.11914772623623023
Seed Stage,50,13,False,5,0.0,100.0,True,14,15,8.391227828115039,115.23938653953483,20.872927473734165,0,60.42686097515033,99.99999999997232,135.94343030586413,0,0,50.0,0.16782455656230078
Seed Stage,50,14,False,6,0.0,100.0,True,13,1,5.880358829136129,108.89983795220839,22.168455935355716,0,53.508477918486214,99.99999999983815,108.47287286587591,0,0,50.0,0.11760717658272257
Seed Stage,50,15,False,7,0.0,100.0,True,15,1,4.994847419098528,114.50024576215124,21.179919822067905,0,60.45874516890606,99.99999999612538,98.74106264380126,0,0,50.0,0.09989694838197057
Seed Stage,50,16,False,5,0.0,100.0,True,15,1,7.799460079420528,115.01426006160752,20.888954530562142,0,60.29329194861972,99.99999999988614,128.6931752722625,0,0,50.0,0.15598920158841056
Seed Stage,50,17,False,6,0.0,100.0,True,14,1,5.623822598867913,116.05349514502625,20.729686720725763,0,61.270335299720344,99.9999999999783,95.73451847613842,0,0,50.0,0.11247645197735827
Seed Stage,50,18,False,5,0.0,100.0,True,14,16,6.427728637938711,113.40682435243973,21.185833622868675,0,58.632862537518214,99.99999999981749,109.10919161745986,0,0,50.0,0.12855457275877422
Seed Stage,50,19,False,5,0.0,100.0,True,19,17,7.882323291808948,113.98305127067192,20.953188221390494,0,60.228979660821125,99.99999999975748,128.89053720725545,0,0,50.0,0.15764646583617897
Seed Stage,50,20,False,6,0.0,100.0,True,15,1,6.638991532915758,108.46230112865015,22.179151692520996,0,53.34178130383286,99.99999999925987,110.97673923927118,0,0,50.0,0.13277983065831514
Series A Low,75,1,False,9,0.0,100.0,True,13,1,4.263768739592475,113.33045806085151,21.380087057269165,0,58.482478815758114,99.99999999994535,74.86847887943294,0,0,75.0,0.056850249861233
Series A Low,75,2,False,9,0.0,100.0,True,14,1,7.250098937067539,114.43565815887695,21.006634710896858,0,59.61491643295896,99.9999999999605,116.35491366835836,0,0,75.0,0.09666798582756718
Series A Low,75,3,False,7,0.0,100.0,True,14,18,6.738025358627146,103.08475253032736,23.42354034856345,0,46.9873718278575,99.99999999997375,105.90574732317089,0,0,75.0,0.08984033811502862
Series A Low,75,4,False,9,0.0,100.0,True,13,1,7.896825963832807,107.55542786652799,22.46180219898555,0,52.336819882813856,99.99999999995828,125.55155756268324,0,0,75.0,0.1052910128511041
Series A Low,75,5,False,7,0.0,100.0,True,18,18,5.088877877375171,114.02140669713403,21.183077326322984,0,59.84592334461548,99.99999999988759,98.54594924445315,0,0,75.0,0.06785170503166894
Series A Low,75,6,False,7,0.0,100.0,True,17,18,8.25828101040834,111.45552029346074,21.599905189050855,0,56.8251867241533,99.99999999938116,133.89083583320107,0,0,75.0,0.11011041347211119
Series A Low,75,7,False,7,0.0,100.0,True,15,18,5.562021847412282,106.92862493136253,23.031532931673258,0,51.81375809359797,99.99999999984604,96.0907336132205,0,0,75.0,0.07416029129883044
Series A Low,75,8,False,9,0.0,100.0,True,16,1,4.910382182464711,114.47263782508563,20.972008608716187,0,59.82978336375865,99.99999999924162,85.07899018991976,0,0,75.0,0.06547176243286282
Series A Low,75,9,False,9,0.0,100.0,True,15,1,6.726104460376461,114.25686378680895,21.05584146368771,0,59.52946024513039,99.9999999998264,141.44540371572796,0,0,75.0,0.08968139280501948
Series A Low,75,10,False,7,0.0,100.0,True,13,15,6.500654951857167,112.56847990115682,21.441049046025874,0,57.67799897740082,99.99999999994434,106.3414179957243,0,0,75.0,0.08667539935809557
Series A Low,75,11,False,8,0.0,100.0,True,14,1,6.121626121376458,114.42544024429914,21.00306426175129,0,59.64857522956456,99.99999999997895,99.56578207557091,0,0,75.0,0.08162168161835277
Series A Low,75,12,False,9,0.0,100.0,True,17,1,7.789589873763983,115.30321930800463,20.73712396836633,0,61.11562394236293,99.99999999967307,126.91881712551114,0,0,75.0,0.10386119831685311
Series A Low,75,13,False,8,0.0,100.0,True,15,1,7.221141159753825,115.8426664619661,20.69541650034311,0,61.393662158628764,99.99999999997151,111.13052120978973,0,0,75.0,0.096281882130051
Series A Low,75,14,False,7,0.0,100.0,True,18,18,8.164572571884246,113.51562438087684,21.191576844614413,0,59.00250655506702,99.99999999996125,132.30054389236594,0,0,75.0,0.10886096762512329
Series A Low,75,15,False,8,0.0,100.0,True,16,1,8.322065833272285,114.14438689289034,21.048480660709895,0,59.47832239324783,99.99999999994515,134.51024863850446,0,0,75.0,0.1109608777769638
Series A Low,75,16,False,8,0.0,100.0,True,15,1,7.257833969510332,112.63007740123071,21.36019192677052,0,57.89783917284906,99.99999999983615,116.36359521606062,0,0,75.0,0.0967711195934711
Series A Low,75,17,False,8,0.0,100.0,True,17,1,7.3965362108066595,114.7178431496693,20.900744108502213,0,60.3744666341897,99.99999999966076,144.3185524096278,0,0,75.0,0.09862048281075546
Series A Low,75,18,False,10,0.0,100.0,True,14,1,7.145510700822519,116.89875032831918,20.530411701139037,0,62.27784379248311,99.99999999991321,126.04937901669527,0,0,75.0,0.09527347601096692
Series A Low,75,19,False,8,0.0,100.0,True,18,1,7.403475193789159,106.41164842863104,22.571044276331516,0,51.58965577933311,99.99999999995164,117.33233595493853,0,0,75.0,0.09871300258385546
Series A Low,75,20,False,8,0.0,100.0,True,15,1,8.38883564921154,103.29725978734115,24.536284751899437,0,47.90734925621908,99.99999999999287,130.80695348339958,0,0,75.0,0.1118511419894872
Series A Standard,100,1,False,10,0.0,100.0,True,19,1,5.650155617836044,112.1232845245326,21.29651712727539,0,57.90485594263358,99.99999999936983,97.64826665916881,0,0,100.0,0.056501556178360446
Series A Standard,100,2,False,9,0.0,100.0,True,17,18,6.020844348497263,113.70834752946703,21.05147873008781,0,59.35411545254941,99.9999999999317,112.0528030508696,0,0,100.0,0.06020844348497263
Series A Standard,100,3,False,13,0.0,100.0,True,13,1,7.815613114709122,113.47718290378717,21.380378321775712,0,58.4217322373781,99.99999999995136,131.75560712854812,0,0,100.0,0.07815613114709122
Series A Standard,100,4,False,10,0.0,100.0,True,18,17,5.199189314987539,115.34911297251588,20.764864108459875,0,60.90784179500148,99.99999999993041,79.69794964323407,0,0,100.0,0.05199189314987539
Series A Standard,100,5,False,10,0.0,100.0,True,17,1,6.905213505850064,109.72760419391659,21.89063918160827,0,54.781778998410914,99.99999999960608,112.43982830355763,0,0,100.0,0.06905213505850064
Series A Standard,100,6,False,10,0.0,100.0,True,16,17,7.406486909671053,113.60862452170926,21.204895311253292,0,59.12490677224568,99.99999999878926,127.08533332707971,0,0,100.0,0.07406486909671053
Series A Standard,100,7,False,11,0.0,100.0,True,16,1,8.170566651087187,113.29825122293398,21.194499155979383,0,58.552283105378805,99.99999999995799,139.03457742914358,0,0,100.0,0.08170566651087187
Series A Standard,100,8,False,10,0.0,100.0,True,15,1,6.008554775049867,112.22452913684828,21.451750687870103,0,57.22021422982876,99.99999999963643,113.0134390581534,0,0,100.0,0.06008554775049867
Series A Standard,100,9,False,10,0.0,100.0,True,17,17,7.25790155870508,114.53208146008441,20.960512074119297,0,60.01157381803796,99.99999999998701,137.13978886684373,0,0,100.0,0.0725790155870508
Series A Standard,100,10,False,9,0.0,100.0,True,15,16,6.676762261011107,113.54217554811004,21.158888329501654,0,58.7504769076263,99.99999999991911,110.40061819439354,0,0,100.0,0.06676762261011107
Series A Standard,100,11,False,13,0.0,100.0,True,14,1,6.443507125632983,115.50158579764803,20.915624575596812,0,60.845974371401724,99.9999999999424,106.22381936095272,0,0,100.0,0.06443507125632983
Series A Standard,100,12,False,11,0.0,100.0,True,14,1,5.618669402360815,110.64152575720071,21.769778060881684,0,55.518088376092095,99.9999999970882,97.01554385432965,0,0,100.0,0.056186694023608146
Series A Standard,100,13,False,9,0.0,100.0,True,16,17,7.124175403257163,111.0199349115648,21.606128683208777,0,56.34217861256337,99.99999999972768,114.63259378268503,0,0,100.0,0.07124175403257163
Series A Standard,100,14,False,10,0.0,100.0,True,13,1,6.63945838710637,113.78225380388653,21.159801197603365,0,58.75136155262814,99.99999999983064,111.45082436696812,0,0,100.0,0.0663945838710637
Series A Standard,100,15,False,10,0.0,100.0,True,15,1,6.635369827037561,114.46265120786404,20.986913810408847,0,59.74507459258832,99.99999999992252,115.86861223423804,0,0,100.0,0.06635369827037561
Series A Standard,100,16,False,9,0.0,100.0,True,16,17,7.085918933093328,113.26443358519585,21.21798039072231,0,58.45577301918538,99.99999999987325,113.70161971422112,0,0,100.0,0.07085918933093328
Series A Standard,100,17,False,10,0.0,100.0,True,16,1,8.558738988288587,114.25356995554367,21.099022701363385,0,59.55646726271486,99.99999999993739,141.16315209295269,0,0,100.0,0.08558738988288588
Series A Standard,100,18,False,10,0.0,100.0,True,15,1,7.310479739555404,114.43116720973964,21.11515201964921,0,59.77430825286685,99.9999999998391,133.1272435214523,0,0,100.0,0.07310479739555405
Series A Standard,100,19,False,10,0.0,100.0,True,14,15,7.815787842696266,112.227050493301,21.444023042062476,0,57.21631249614764,99.99999999994988,144.23729803352828,0,0,100.0,0.07815787842696266
Series A Standard,100,20,False,10,0.0,100.0,True,18,19,7.944670729865586,110.42908893143706,21.658319398727652,0,55.994946168871756,99.99999999979363,146.66700252961235,0,0,100.0,0.07944670729865586
Series A High,150,1,False,15,0.0,100.0,True,15,1,6.948002510638153,112.4495029503119,21.517039855515524,0,57.83165778718276,99.99999999919176,109.23464012670618,0,0,150.0,0.046320016737587684
Series A High,150,2,False,15,0.0,100.0,True,17,16,8.08126070042156,112.59948325075396,21.38388056290992,0,57.81834338156584,99.99999999996139,132.13304520154998,0,0,150.0,0.05387507133614373
Series A High,150,3,False,14,0.0,100.0,True,15,16,9.157517201667119,112.74081903931504,21.267515242963945,0,58.11519543188574,99.9999999999557,150.50623410632284,0,0,150.0,0.06105011467778079
Series A High,150,4,False,16,0.0,100.0,True,14,1,5.42969159855311,114.92885172170958,20.90434201813979,0,60.176390764530325,99.99999999971848,81.66609781352078,0,0,150.0,0.036197943990354066
Series A High,150,5,False,18,0.0,100.0,True,14,1,8.400524960995533,113.6150531877589,21.162408881518083,0,58.796476312777024,99.9999999999602,135.7712788981153,0,0,150.0,0.056003499739970215
Series A High,150,6,False,19,0.0,100.0,True,16,1,7.553996416794592,116.48950851687984,20.586697345315333,0,61.94373721261824,99.99999999997493,133.67344392294953,0,0,150.0,0.050359976111963946
Series A High,150,7,False,15,0.0,100.0,True,17,1,6.780286223669663,109.68756781006762,21.862725137132745,0,54.948085477223195,99.9999999980233,106.90177857317627,0,0,150.0,0.04520190815779775
Series A High,150,8,False,16,0.0,100.0,True,14,1,6.110644072492714,103.48711110487733,24.059591695011058,0,47.468951887297926,99.99999999987247,101.84608359444802,0,0,150.0,0.040737627149951425
Series A High,150,9,False,14,0.0,100.0,True,14,1,3.7266243445211304,97.97593965114804,24.69909112601794,0,41.13625947099098,99.99999999994044,66.19702771803348,0,0,150.0,0.024844162296807536
Series A High,150,10,False,15,0.0,100.0,True,15,16,6.264515034775106,111.63342985807493,21.624510053798208,0,57.28695334928164,99.99999999994574,101.6500424926461,0,0,150.0,0.041763433565167374
Series A High,150,11,False,14,0.0,100.0,True,17,1,5.235916184279432,113.32896523761958,21.344320935923594,0,58.97599704349023,99.99999999921182,89.79351743927188,0,0,150.0,0.034906107895196214
Series A High,150,12,False,19,0.0,100.0,True,15,1,7.056671048168864,116.21101912408851,20.648584232222113,0,61.64959699279942,99.99999999996774,103.0175114015424,0,0,150.0,0.047044473654459094
Series A High,150,13,False,15,0.0,100.0,True,14,15,6.983316625925449,116.07816890610576,20.7058278499745,0,61.330301475328774,99.9999999999572,103.75885222190138,0,0,150.0,0.04655544417283632
Series A High,150,14,False,15,0.0,100.0,True,17,1,8.304665664540023,113.02775067254895,21.22129962269343,0,58.40002086505372,99.99999999969747,138.26024657801085,0,0,150.0,0.05536443776360015
Series A High,150,15,False,19,0.0,100.0,True,13,1,6.773777155670792,112.82191398726917,21.429913848318442,0,57.86892622864328,99.99999999972195,102.85277463442306,0,0,150.0,0.04515851437113861
Series A High,150,16,False,15,0.0,100.0,True,15,17,7.771655161998577,109.8886708803486,21.887675955587902,0,54.89900422283548,99.99999999996822,132.92542779726216,0,0,150.0,0.051811034413323846
Series A High,150,17,False,19,0.0,100.0,True,15,1,7.165504700858637,114.96763240402981,20.887879447630826,0,60.263483932806764,99.99999999995737,103.65694333675852,0,0,150.0,0.04777003133905758
Series A High,150,18,False,14,0.0,100.0,True,15,16,7.416568700835042,113.75092283667888,21.068205397370516,0,59.20521132385704,99.99999999973473,117.80089494101323,0,0,150.0,0.049443791338900284
Series A High,150,19,False,17,0.0,100.0,True,13,12,6.701802616162902,111.13150313891168,21.728739478263954,0,55.85710945110681,99.9999999999702,114.35140358217876,0,0,150.0,0.04467868410775268
