config_name,run,focus_strategy,survived,game_over_step,final_market_fit,final_market_share,peak_market_fit,peak_market_share,peak_revenue,pmf_achieved,time_to_pmf,final_technical_debt,final_bug_count,final_code_quality,final_feature_completeness,avg_technical_debt,avg_bug_count,avg_code_quality,avg_team_morale,avg_customer_satisfaction,final_cash_runway,avg_revenue,growth_rate,quality_speed_balance,sustainability_score,technical_health,business_performance
Always Engineering,14,engineering,True,,100.0,7.135369950928168,100.0,8.014961090083021,141.41137159662352,True,29.0,20.183116268178487,0.0,62.70658667125879,130.56915008765415,24.486458623273897,2.9285872545948917,64.46585412517081,86.9295419724123,94.03812180591316,8179.868265115962,63.899341325579805,0.03964094417182316,0.4534299310036948,76.27287033679222,7477.559175309338,6320.59844360332
Always Engineering,15,engineering,True,,100.0,6.191155039278455,100.0,8.768734866731775,149.19379372879146,True,30.0,20.023123076332013,0.0,63.639312184307634,131.56429362012216,24.147276634709506,2.88515321677044,65.02107319713475,88.8067729981923,94.02870580529992,11358.76864866132,79.7938432433066,0.034395305773769196,0.4611402928990303,76.50690795291656,7515.2588109396875,6350.749394669271
Always Engineering,16,engineering,True,,100.0,7.915336180958016,100.0,9.282460303848497,152.37826797724412,True,30.0,20.140770733103093,0.0,62.97889658855843,130.79506984348558,24.377642549342667,2.961269094270898,64.63990776905564,86.61709777721121,93.8940240768435,11286.251690863475,78.43125845431739,0.0439740898942112,0.4556169139510949,76.55247822612804,7485.606397012657,6371.29841215394
Always Engineering,17,engineering,True,,100.0,8.3420532415815,100.0,8.839964142601078,144.39905224319406,True,30.0,20.216148158438557,0.0,62.567530604061595,130.345105232365,24.53176060753024,2.968646735017361,64.3939646336482,85.7541442009309,93.93207532843759,9033.206276291736,67.16603138145867,0.04634474023100833,0.4522091880568573,76.42708752356744,7469.759736164255,6353.598565704043
Always Engineering,18,engineering,True,,100.0,9.61869111153059,100.0,9.61869111153059,159.25923970636353,True,29.0,19.974989098813793,0.0,63.95898196710431,131.9414471158365,24.037375079583015,2.8470118020724455,65.24269552714811,86.05716255641131,94.11018893275208,9744.13037852986,70.7206518926493,0.053437172841836605,0.4638217828081077,76.71014255137834,7531.148709794482,6384.747644461223
Always Engineering,19,engineering,True,,100.0,8.23331154783314,100.0,9.27815867893176,155.36802299671066,True,29.0,19.996066075955397,0.0,63.818369329333315,131.81685287947255,24.090188595579065,2.840787277236298,65.14392784013528,87.59577921755111,94.13815266828715,9992.558539768115,72.96279269884059,0.04574061971018411,0.4626818948664324,76.62722091180665,7525.8682396571185,6371.126347157271
Always Engineering,20,engineering,True,,100.0,7.179237679475558,100.0,8.5926419541405,142.37738026481102,True,29.0,20.422587422008753,0.0,61.44917013598333,129.1956441407132,24.95180730023554,2.97584640310464,63.72651997740581,85.5303093454347,94.06837780634291,9696.770079578004,71.48385039789002,0.039884653774864214,0.44303337593388037,76.27750638743896,7427.760343329268,6343.70567816562
Always Sales,1,sales,True,,100.0,7.34472828185739,100.0,8.087534029641809,131.35716182020386,True,29.0,22.309431093083173,0.0,48.40237612367302,94.0335120343964,22.079181391059702,3.330316899652376,59.587003913902755,86.4663958752513,93.94867715348781,11053.752288014055,76.26876144007026,0.04080404601031883,0.31599905837412795,75.55555739301377,7333.182399564657,6323.501361185672
Always Sales,2,sales,True,,100.0,6.829091441264157,100.0,8.237237172426562,133.41886844993934,True,30.0,23.1540742255832,0.0,44.52273716077655,90.92989938943154,23.469054833995393,3.6326043664657353,57.55532060896152,84.03269092833311,93.63053265306496,11745.572624936707,75.82786312468356,0.037939396895911984,0.28726679207968786,75.28074552582954,7178.078874629811,6329.489486897062
Always Sales,3,sales,True,,100.0,8.17320664370379,100.0,8.17320664370379,136.8524725443611,True,29.0,21.91097158528557,0.0,50.0438882781256,95.08322518480169,21.49016376882267,3.3377897441082838,60.51627801213499,88.1841211334737,93.72309244516836,11487.225194023335,79.43612597011663,0.04540670357613216,0.3279727406260154,75.712083030561,7390.346243234249,6326.928265748152
