config_name,run,survived,survival_time,market_fit,market_share,feature_completeness,technical_debt,bug_count,code_quality,brand_awareness,organizational_alignment,organizational_conflict,cash_runway,revenue,funding_rounds,pivots_used,total_headcount,eng_ratio,sales_ratio,mkt_ratio
Tech-Heavy,11,False,15.0,53.45514599158381,0.0,17.927737573393458,20.480227627659662,8.168102671366267,70.6900863191503,33.21804345555696,93.92000000000004,0.0,-4.973740957069417,3.488465673631247,0,0,25,0.8,0.08,0.04
Tech-Heavy,12,False,16.0,53.8821863607874,0.0,18.402891740602875,20.84586631209261,8.418839888408684,70.58881528356936,34.372051295966436,100.0,0.0,-2.8151550705805635,3.6855180496234867,0,0,25,0.8,0.08,0.04
Tech-Heavy,13,False,13.0,51.946217432026046,0.0,16.619011034716724,21.460400117695567,8.57267899781754,70.62756106693051,37.85551544403469,100.0,0.0,-1.9339035183985471,3.155677816454014,0,0,25,0.8,0.08,0.04
Tech-Heavy,14,False,16.0,54.423869687584705,0.0,18.457677725593438,20.644930864753434,8.310732116802063,70.63188974710233,32.655796432153,100.0,0.0,-2.7484417399026935,3.7228246587504974,0,0,25,0.8,0.08,0.04
Tech-Heavy,15,False,16.0,53.00533950101709,0.0,18.245507796518968,21.403096833946073,8.695415821531812,70.47423366154706,40.366316062922124,100.0,0.0,-5.504079041001411,3.772068321332179,0,0,25,0.8,0.08,0.04
Tech-Heavy,16,False,14.0,53.16210734168385,0.0,17.055019512724357,21.789823483913853,8.764347101524743,70.50699682547958,43.45894775242311,100.0,0.0,-2.730938510411873,3.272292497719235,0,0,25,0.8,0.08,0.04
Tech-Heavy,17,False,17.0,53.24003564289257,0.0,18.818832312140447,21.405709642811622,8.766240159377169,70.44583022695764,30.891410792159355,100.0,0.0,-3.36998082442247,3.569581118081859,0,0,25,0.8,0.08,0.04
Tech-Heavy,18,False,15.0,53.767114263519325,0.0,18.02674837936309,20.1417741119128,8.01038826462535,70.7585859010558,28.719517046728743,100.0,0.0,-4.76266048631432,3.5424195443555755,0,0,25,0.8,0.08,0.04
Tech-Heavy,19,False,14.0,52.550126178247126,0.0,17.29303566316798,20.77265460515971,8.264081539519191,70.67187400704178,39.146451829331355,100.0,0.0,-1.3845487690700065,3.3255569007864203,0,0,25,0.8,0.08,0.04
Tech-Heavy,20,False,15.0,53.34812459403126,0.0,17.680543402868103,21.388724073792403,8.618257944198326,70.51184180092137,29.297626902395148,100.0,0.0,-4.018463263452881,3.393114581647635,0,0,25,0.8,0.08,0.04
Sales-Heavy,1,True,,100.0,16.29235410404582,114.32690062214412,21.66141898951885,0.0,57.37039975047561,99.99999999999999,100.0,0.0,39517.70185064812,310.03822446468,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,2,True,,100.0,18.447796940579433,112.71159603285204,21.924093002856317,0.0,55.287381142913205,99.99999999999999,100.0,0.0,41347.593385147076,346.39210588246397,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,3,True,,100.0,19.41735045258149,119.6648578573201,20.59939667295745,0.0,62.94147350371426,99.99999999999999,100.0,0.0,44039.739682975465,378.2043852386407,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,4,True,,100.0,15.950237750528961,121.49023344367296,20.342898717415256,0.0,64.84387648340439,99.99999999999999,100.0,0.0,44549.24883576844,305.30515261051323,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,5,True,,100.0,20.09109908239212,118.31371354724511,21.317093812618065,0.0,61.53196007567159,99.99999999999999,100.0,0.0,43911.210001643754,392.86445416078095,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,6,True,,100.0,17.269841219468447,119.54043502107362,20.486954846875886,0.0,62.83176015353754,99.99999999999999,100.0,0.0,41479.87823341593,319.5333490933642,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,7,True,,100.0,18.1199005852133,114.99205493118068,21.674148937750616,0.0,58.6654329715857,99.99999999999999,100.0,0.0,41888.41363263852,332.82875033977143,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,8,True,,100.0,17.438712107845106,116.10097796860383,21.266542194411613,0.0,59.03442834538794,99.99999999999999,100.0,0.0,42058.13072399908,321.5285938577535,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,9,True,,100.0,15.961079550906838,104.835669984411,23.68637286456557,0.0,47.2241406247356,99.99999999999999,100.0,0.0,39979.963256179195,291.74601810977816,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,10,True,,100.0,15.78470733793946,121.63284702483745,20.15476771261086,0.0,65.19008702404433,99.99999999999999,100.0,0.0,41076.70901264737,297.064433310992,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,11,True,,100.0,17.83743057969529,113.82692753083042,22.375151137394695,0.0,58.08576122580582,99.99999999999999,100.0,0.0,42008.684577200525,347.4210528136653,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,12,True,,100.0,19.70204626798366,117.74289140183794,21.114925437701157,0.0,61.10482734775746,99.99999999999999,100.0,0.0,41377.38371294837,405.6017532796355,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,13,True,,100.0,17.514993474113787,117.44611943130943,20.871635324529247,0.0,60.67357145572035,99.99999999999999,100.0,0.0,44926.52533026046,352.1983022305755,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,14,True,,100.0,18.855583835509943,119.90350112091144,21.29640130512565,0.0,63.303295076604975,99.99999999999999,100.0,0.0,41931.62169131506,363.3203393185803,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,15,True,,100.0,15.769935427907106,113.20280461012395,21.757019064607803,0.0,55.84238783184921,99.99999999999999,100.0,0.0,38896.29754366489,280.6668074850174,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,16,True,,100.0,20.18161023593499,120.71851169864975,20.48503621964349,0.0,64.05585129432586,99.99999999999999,100.0,0.0,40821.48583668727,398.5103764189912,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,17,True,,100.0,16.821791591407926,114.91329901940148,21.560886164358294,0.0,57.94449397393885,99.99999999999999,100.0,0.0,42226.25881873388,339.6765695022226,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,18,True,,100.0,17.000955251319674,120.24197459733054,20.394458068133698,0.0,63.64612691214982,99.99999999999999,100.0,0.0,41943.510184009465,342.28168973864126,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,19,True,,100.0,15.589966234274621,116.62011029556895,21.10989083319633,0.0,59.42295223968641,99.99999999999999,100.0,0.0,40315.73941114371,308.09298612881906,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Sales-Heavy,20,True,,100.0,19.934153577142517,121.47292065235717,20.2285124122359,0.0,65.01390568065446,99.99999999999999,100.0,0.0,45560.228714930876,395.0170721541026,0,0,27,0.18518518518518517,0.5555555555555556,0.18518518518518517
Balanced,1,True,,100.0,12.772635304799575,119.62408777572679,20.482051936557625,0.0,63.352119938410034,99.99999999999999,100.0,0.0,28567.40391629224,231.05405570243929,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,2,True,,100.0,12.836258452549268,118.20692005780647,21.234997061145627,0.0,61.82362500410293,99.99999999999999,100.0,0.0,27898.392840281973,220.89068814821601,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,3,True,,100.0,14.08270705289875,118.53990780951277,20.812974574646837,0.0,62.44304303116373,99.99999999999999,100.0,0.0,26453.818093488124,267.9437347023918,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,4,True,,100.0,13.993299452123935,120.11587507561245,20.31478307805973,0.0,63.93836347129643,99.99999999999999,100.0,0.0,28689.358878348296,288.2498455428823,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
Balanced,5,True,,100.0,13.040291911235581,117.3452025744131,20.8204071837938,0.0,61.0305776784208,99.99999999999999,100.0,0.0,28406.85395613573,238.93301694996342,0,0,27,0.37037037037037035,0.37037037037037035,0.18518518518518517
