strategy_name,run,survived,survival_time,market_fit,market_share,feature_completeness,technical_debt,bug_count,code_quality,brand_awareness,organizational_alignment,organizational_conflict,cash_runway,revenue,funding_rounds,pivots_used,sustainability_index,velocity,debt_accumulation_rate
Balanced Pragmatic,4,True,,100.0,6.167617109133533,133.59932679450492,19.703134580194497,0.0,59.81515770753057,99.99999999327112,100.0,0.0,11340.015762785288,94.62457703132053,0,0,0.7801512270895387,0.6679966339725246,-0.0007274743501708401
Balanced Pragmatic,5,True,,100.0,6.996222440749791,135.57212264068207,19.394143332613574,0.0,61.147655570341115,99.99999999998782,100.0,0.0,12287.34452940925,125.62897415087492,0,0,0.7864081922835237,0.6778606132034103,-0.0072398855169875055
Balanced Pragmatic,6,True,,100.0,8.752475352864124,137.83329774685907,18.987511083335885,0.0,63.493291743719105,99.99999999986703,100.0,0.0,12458.110529330064,146.45236552437242,0,0,0.7970106337248687,0.6891664887342954,0.0005287602589836083
Balanced Pragmatic,7,True,,100.0,6.772649316245911,135.51084980124773,19.54516769399944,0.0,61.03736115916783,99.9999999998752,100.0,0.0,11945.37314167488,103.91207850015152,0,0,0.785513941554673,0.6775542490062386,-0.0067696434439471105
Balanced Pragmatic,8,True,,100.0,7.949468030772701,137.1407656712256,19.11889731359721,0.0,62.82408909940859,99.99999999991118,100.0,0.0,11450.479670173001,126.2669818142333,0,0,0.7939396644568427,0.6857038283561281,-0.0011146734382092174
Balanced Pragmatic,9,True,,100.0,6.478630269186363,133.18769385479584,19.75986975654382,0.0,59.51764613634363,99.99999999997125,100.0,0.0,12624.49475964301,100.08596374870471,0,0,0.778790975275743,0.6659384692739792,-0.005530402798788957
Balanced Pragmatic,10,True,,100.0,7.6966626942529395,136.4755141941005,19.214140791633007,0.0,62.19739724075458,99.99999999992146,100.0,0.0,13268.916157250187,116.67442195137004,0,0,0.7911471665881193,0.6823775709705024,-0.002971598447317578
Balanced Pragmatic,11,True,,100.0,6.695530195168223,125.69292249218505,21.036502227374804,0.0,52.33634393765438,99.99999999982208,100.0,0.0,11482.137295723038,96.61034535137169,0,0,0.7462358690684932,0.6284646124609252,-0.016112606777771477
Balanced Pragmatic,12,True,,100.0,8.149063704658506,136.73506989379453,19.220676099212877,0.0,62.12104962392762,99.99999999959923,100.0,0.0,12448.945854191927,139.50151235511026,0,0,0.7908221701980718,0.6836753494689727,-0.00514141651457838
Balanced Pragmatic,13,True,,100.0,8.618791584970248,134.47269930248567,19.53243408003296,0.0,60.64464170908975,99.99999999960858,100.0,0.0,11958.100021729484,132.90655124847032,0,0,0.7839812645962602,0.6723634965124283,-0.0051552334158781014
Balanced Pragmatic,14,True,,100.0,6.9100453607611865,134.62451051520858,19.8244130887652,0.0,60.72647821047674,99.99999999988421,100.0,0.0,11291.512881042743,120.75712335804883,0,0,0.7834326735756113,0.6731225525760429,-0.0003777821183685298
Balanced Pragmatic,15,True,,100.0,4.81189884571472,125.56728508017673,21.07277665772027,0.0,52.27791231007603,99.99999999989133,100.0,0.0,10529.166035244469,79.18535949918342,0,0,0.7458933192671434,0.6278364254008837,-0.024439199598235685
Balanced Pragmatic,16,True,,100.0,7.431920521678101,133.06630027845983,19.772112647681205,0.0,59.05674485502008,99.99999999989399,100.0,0.0,12214.908468866082,123.04904076899206,0,0,0.7769106414770367,0.6653315013922991,-0.010401249228676933
Balanced Pragmatic,17,True,,100.0,7.235699117364303,135.6016806238134,19.368042521874493,0.0,61.44586395697964,99.99999999997245,100.0,0.0,12900.253020571274,134.85807494174574,0,0,0.7876793282622951,0.678008403119067,-0.00458428391298007
