config_name,num_engineers,num_sales,num_marketing,num_hr,num_mgmt,total_headcount,run_id,survived,survival_duration,final_market_fit,final_market_share,final_revenue,final_cash_runway,final_tech_debt,final_bugs,avg_market_fit,avg_revenue,avg_team_morale,max_market_share,pivots_used,funding_rounds,market_fit_50_step,market_share_5_step,revenue_per_employee,market_share_per_employee
XLarge Eng Team,20,5,3,1,1,30,13,True,200,100.0,7.659217115864425,132.29723648274654,13025.153934077947,20.7356614589513,0.0,91.33217052807842,74.62576967038977,86.99960829487578,7.659217115864425,0,0,0,92,4.409907882758218,0.2553072371954808
XLarge Eng Team,20,5,3,1,1,30,14,True,200,100.0,7.9609137457327295,129.34879695949422,12771.202633131727,21.507751167692035,0.0,91.07540501266604,73.35601316565861,84.64187790416533,7.9609137457327295,0,0,0,98,4.311626565316474,0.2653637915244243
Small Sales Team,10,3,3,1,1,18,0,True,200,100.0,2.492222484346495,53.15629515307748,2226.089650332151,22.795611627147327,0.0,83.97397056623382,27.430448251660746,86.51228059139657,3.7683965673305857,0,0,0,200,2.9531275085043043,0.13845680468591637
Small Sales Team,10,3,3,1,1,18,1,False,24,60.69776839239402,0.0,4.756681104734912,-2.133709425696461,23.730133508759426,10.004646155662883,55.72416737649386,5.337900394565359,68.41418932724707,0.0,0,0,0,200,0.26426006137416175,0.0
Small Sales Team,10,3,3,1,1,18,2,True,200,100.0,5.328811438785776,89.15229141541849,5671.654676651415,21.23080232959439,0.0,87.99755134059573,47.95827338325707,85.52752191562222,5.685248316020851,0,1,0,143,4.952905078634361,0.2960450799325431
Small Sales Team,10,3,3,1,1,18,3,True,200,100.0,5.465668859324067,89.92079909170245,5385.278087862587,21.30894812142688,0.0,87.7591603860445,45.52639043931295,84.71550766021136,5.5337319289742135,0,1,0,175,4.995599949539025,0.30364826996244815
Small Sales Team,10,3,3,1,1,18,4,False,18,59.4619539772578,0.0,5.868776647843486,-1.6982502148591783,22.378584932063777,9.157901589922593,54.771663772564665,4.57960961873874,70.72713800151543,0.0,0,0,0,200,0.3260431471024159,0.0
Small Sales Team,10,3,3,1,1,18,5,True,200,100.0,5.651126300974095,89.64629855334714,5564.674629205268,21.419634115539885,0.0,87.46366294334713,48.823373146026334,85.14404245129646,5.651126300974095,0,1,0,149,4.980349919630396,0.3139514611652275
Small Sales Team,10,3,3,1,1,18,6,True,200,100.0,3.9099049703681583,58.76300150947509,2505.077990955707,22.15236992395196,0.0,84.27035375718802,29.125389954778534,85.13492619612842,3.9099049703681583,0,0,0,200,3.264611194970838,0.217216942798231
Small Sales Team,10,3,3,1,1,18,7,False,21,60.05607766567459,0.0,4.449139920167163,-2.3381779386882826,22.15134577945168,9.189705870313512,55.01838318594452,5.105365816244978,75.34035032539721,0.0,0,0,0,200,0.24717444000928682,0.0
Small Sales Team,10,3,3,1,1,18,8,True,200,100.0,4.022562001595938,67.985017986492,5063.672805733413,21.535597606151313,0.0,87.97451719795063,44.818364028667055,85.91163002459845,5.275223373280149,0,1,0,139,3.7769454436939998,0.2234756667553299
